date;driving;transit;walking
2020-01-13;100.0;100.0;100.0
2020-01-14;101.31;102.85;104.04
2020-01-15;102.82;102.41;107.18
2020-01-16;104.61;105.37;110.76
2020-01-17;114.38;114.32;124.13
2020-01-18;109.65;116.37;137.91
2020-01-19;103.81;102.26;91.01
2020-01-20;100.54;99.42;99.26
2020-01-21;102.9;101.25;102.36
2020-01-22;102.65;100.44;100.62
2020-01-23;102.61;103.03;104.64
2020-01-24;112.68;111.85;119.37
2020-01-25;108.85;117.24;135.62
2020-01-26;102.26;99.33;89.33
2020-01-27;101.93;101.54;99.07
2020-01-28;105.2;101.07;98.48
2020-01-29;102.84;99.92;99.88
2020-01-30;105.23;102.77;106.28
2020-01-31;119.14;113.42;127.99
2020-02-01;115.73;115.02;139.86
2020-02-02;106.1;104.64;91.42
2020-02-03;105.13;104.37;104.16
2020-02-04;107.72;104.7;105.5
2020-02-05;106.59;101.33;108.79
2020-02-06;105.26;101.98;109.22
2020-02-07;120.68;113.45;128.59
2020-02-08;120.85;117.99;150.13
2020-02-09;105.91;100.3;86.21
2020-02-10;105.72;104.99;91.76
2020-02-11;108.42;105.67;104.04
2020-02-12;108.83;106.43;108.17
2020-02-13;112.43;112.26;112.38
2020-02-14;130.41;121.04;141.37
2020-02-15;128.0;125.2;161.49
2020-02-16;109.63;114.91;98.68
2020-02-17;108.0;157.64;111.55
2020-02-18;109.42;140.18;115.71
2020-02-19;110.81;132.15;109.61
2020-02-20;108.14;135.25;121.49
2020-02-21;125.52;145.98;131.42
2020-02-22;119.65;149.75;149.93
2020-02-23;99.22;127.86;93.4
2020-02-24;102.49;129.82;114.25
2020-02-25;105.39;128.68;106.82
2020-02-26;104.39;123.84;99.85
2020-02-27;110.47;128.01;104.58
2020-02-28;117.01;138.23;123.05
2020-02-29;115.16;140.56;138.07
2020-03-01;106.11;123.28;95.72
2020-03-02;101.52;118.97;102.74
2020-03-03;104.1;116.1;103.29
2020-03-04;102.87;114.82;101.89
2020-03-05;105.34;117.3;102.6
2020-03-06;115.68;127.44;116.04
2020-03-07;112.85;134.51;140.22
2020-03-08;105.05;115.27;93.98
2020-03-09;99.11;110.61;96.92
2020-03-10;100.16;106.74;90.68
2020-03-11;97.05;101.51;96.4
2020-03-12;87.94;91.75;89.79
2020-03-13;86.47;82.21;88.28
2020-03-14;78.32;77.72;95.38
2020-03-15;72.26;63.99;75.8
2020-03-16;68.97;57.93;71.25
2020-03-17;63.71;50.68;61.98
2020-03-18;59.52;46.15;57.99
2020-03-19;54.87;39.17;51.98
2020-03-20;50.87;33.88;45.37
2020-03-21;37.9;29.1;36.4
2020-03-22;39.75;30.14;42.76
2020-03-23;45.1;31.37;42.11
2020-03-24;45.53;31.0;43.85
2020-03-25;46.48;31.36;43.83
2020-03-26;48.12;31.4;45.78
2020-03-27;49.58;31.8;52.26
2020-03-28;45.98;31.88;58.85
2020-03-29;42.18;29.48;33.95
2020-03-30;50.0;32.39;42.5
2020-03-31;52.68;35.14;47.88
2020-04-01;53.29;33.52;50.5
2020-04-02;53.15;33.82;50.82
2020-04-03;51.46;32.02;48.24
2020-04-04;47.44;33.02;59.17
2020-04-05;55.02;39.16;75.42
2020-04-06;58.99;40.67;66.13
2020-04-07;60.26;40.58;66.37
2020-04-08;61.92;39.96;67.94
2020-04-09;58.89;38.54;65.26
2020-04-10;51.44;40.24;73.42
2020-04-11;51.05;36.2;67.61
2020-04-12;46.1;37.88;67.93
2020-04-13;53.67;38.77;54.13
2020-04-14;61.19;41.62;55.07
2020-04-15;63.04;43.22;63.21
2020-04-16;65.48;44.83;69.23
2020-04-17;64.69;43.47;69.5
2020-04-18;57.58;42.91;69.57
2020-04-19;63.82;46.65;75.93
